id,label,tweet,,
31,offensive,"@KwikWarren Question: How the fuck can you relate China having a bigger navy to Obama? Is it because of Obama? Did Obama give them hardware? That being said did our countey train their naval officers? Those guys are trash, armchair politician, dick yougurt drinking idiots. ",,
32,offensive,@LozzaFox Another irrelevant voice arguing against feeding starving children during a global pandemic. Bore off ye fucking cunt. ,,
33,none,"COVIDIOTS thinking that today's meagre little protest was some sort of victory...they literally ran away. It's hilarious and pathetic. Gutless, selfish little fucks. ",,
34,offensive,"@MightyKeef She thinks it's ""unconstitutional?"" People's lives are in danger you stupid ass douchebag. COVID-19 can fucking kill people. So, not dying from COVID-19 is ""unconstitutional."" OK, WHATEVER douchebag ",,
35,offensive,That was a Fumble. That was not a damn Face Mask. Fuck these refs dude. ,,
36,none,@realDonaldTrump PLUS he sold us OUT to China and Russia. People should be outraged. Anyone still there who was outraged about Russian collision? JOE BIDEN IS THE FOREIGN COLLUDER YOU WERE LOOKING FOR. IDIOTS! ,,
37,none,"YungFeelingNa diring-diri ka sa clownery ng Congress esp. these days. If that's what's representive of us, then we're all a bunch of jokes brawling for power while a goddamn pandemic infects and kills thousands by the day. Fuck you po. ",,
38,offensive,"@lourdesthebaker @realDonaldTrump Thank him for what? He’s a murderer. His lack of action has led to an out of control pandemic and you want to thank the asshole in chief. Almost 165,000 Americans are dead. Maybe you’ll become part of that statistic. Stupid woman stupid president. Thank Donald Death for this. ",,
39,none,"$BABA Bought Alibaba stocks! I hope they get their shit together in China! For sure, at this price it’s a buy! President Xi needs to stop fucking with Jack Ma. Rofl. ",,
40,offensive,"@JoeBiden Then you need to throw all coronavirus ads into the rotation NOW! Stop trying to okay the nice guy joe! Fuck trump! Play an ad with him downplaying it while his ass is boarding the plane to Walter reed. Stop fucking playing nice, fuck trump! Stop being nice! ",,
41,none,"wear a fucking mask and if you get sick, don’t fucking visit ppl. it’s that fucking simple. ",,
42,offensive,Liar. Trump virus kills daily; moron ,,
43,none,who fucking cares lol ,,
44,offensive,"@therecount How This is top ? You are so biased fake garbage. This should be bottoms. How is this demented corrupt fuck blaming Virus death on Trump? Blame him for your cancer too , when you sneeze cough or cry blame it on Trump. Such sick people ",,
45,none,@yashar Comparing mask wearing to hat George Floyd went through? F these idiots. ,,
46,none,why do yall need more ppl to die to be encouraged to wear a fucking mask ,,
47,offensive,@realDonaldTrump Yeah right. Corona was a hoax until you got it. FUCKING LIAR. GTFOH. ,,
48,none,If one more person asks me if I’ve got corona I’m going to lose my shit 😡 ,,
49,offensive,"@TuckerCarlson You are a ridiculous, sycophantic tool. Can you explain Trump's lies about Covid? GFY. ",,
50,offensive,"No little Donnie you didn’t get “the Rona” you got the trump virus. And just so we’re clear, I’m definitely not one of your well wishers. In fact I hope your daddy’s disease kicks your ass for several days. ",,
51,none,@ksorbs The virus is bullshit ,,
52,none,"i wore sweats everyday junior year then decided senior year i was gone get drippy on niggas, &amp; we aint even goin' to school 😐... corona count yo days bitch ",,
53,none,@Acyn Plenty of covid19 to breathe doesn't bother this fool. Where does he come up with this ridiculous nonsense?!? ,,
54,none,"I hate it when people nowadays ask me if I am working late. Bitch, I work from home and there’s Covid out there. What else is there to do? Lucky to be hustling!!! ",,
55,none,Covid needs to go away so I can be a slut ,,
56,none,Holy shit...this is deep. China is hurting... ,,
57,none,"Corona, we haven’t forgotten about your ass. ",,
58,offensive,"@GOPLeader @realDonaldTrump You said the virus was hoax. You refused to wear a mask in public, but now you get in front of the line for the vaccine? You fucking coward ass bitch! ",,
59,offensive,"@Katpa73 Can you believe just how fucking stupid this looks to the entire world ! I'm guessing the whole world has us banned....not because of covid-19, but because Americans act like a bunch of Ass-Holes !!! ",,
60,none,"@NicolaSturgeon Oh shut up and put your mask on, sour puss! You were desperate for Boris to fail. Eat humble pie and shut your mouth! ",,
61,none,Fuck this. How can we shut this down? We are under a mask mandate in our county and we all know these asshats won’t be wearing masks. ,,
62,offensive,@ksorbs too bad you didn’t get COVID you dumbass republican has-been. What the fuck? Don’t you see who is doing the violence? It’s the right. You just put a nail in the coffin that was your shitty career. ,,
63,none,will the entire campaign be about a virus that was going to fade and never return after Easter? You bet your damned bippy! ,,
64,none,Lmao so when a cop puts his hands on a white woman (for not wearing a mask) it’s not okay to these chuds. Focus on his rhetoric. And talk to your parents that watch this racist shit. ,,
65,offensive,@EqualityGrandma @PROUDKYAMERICAN @GovAndyBeshear So you support the rights of protesters but not our rights to not wear a mask? Fuck Off Grandma. ,,
66,none,"Probably was a no-go anyway, Ted... ya know, because your party royally fucked up this pandemic thingy, so Americans aren’t allowed in countries that are run by an orange idiot. ",,
67,none,"@ChrisBu73906152 @realDonaldTrump @OANN Yes... Russia, Iran, North Korea and China are all very anxious to see you remain in power.... because they know you are a moron. ",,
68,none,Take a break from the shit we deal with daily. Vote Joe and Roll Damn Tide and wear a damn mask ,,
69,offensive,Trumps actions are causing people to kill themselves- particularly teens and young adults. In a survey 50% of them said they’ve experienced anxiety depression and suicidal thoughts during this pandemic. Trump is a fucking SERIAL MURDERER I’m crawling out of my skin w burning rage ,,
70,offensive,Fuck Fauci! ,,
71,none,"@JamesMontfort1 @GovLarryHogan @realDonaldTrump @POTUS Really pathetic how you cult members, ah, yes you are are, taken in by a realty host who lies and cheats his way through his ugly life. He is a stupid bully. Oh, btw, Get over it, and learn to count. And wear a mask! ",,
72,hate,Trump knuckle draggers all ready in line for his rally on SATURDAY!! They are truly dumb asses and I hope they all get the COVID-19 and take it home! VOTE! ,,
73,none,Fuck it... I’m calling a tattoo joint. Covid cases hella high. Might be heading back to lockdown. Holiday get togethers on the horizon. PERFECT time to make hasty dumb ass decisions. 💉 ,,
74,none,@carmenB91439268 @TheEconomist They started covid-19. What an idiot ,,
75,hate,So Biden is going to follow Trump economic playbook. He better .. Fuck China. Made in the USA .... ,,
76,offensive,@mat_3rd @spencermorgan93 "Covid kills 3%".... Do kindly fuck off. ,,
77,hate,China virus From China Democrat Socialist Party close the business Won't let people go to work. Then says its Trumps fault that unemployment is up. This idiot thinks we're the idiots Take your boot off our neck Stop you thugs from burning down businesses Trump will build it ,,
78,none,"@TimRyan @realDonaldTrump @RepHagan try reading the actual numbers that dont jibe with last years or any other, because they just removed 2 types of death rates and added them to covid. youre being a useful idiot. does it pay well? ",,
79,none,"It just hit me that 250,000+ people died for literally no reason cuz of this virus, that’s so fucked up man....... ",,
80,none,💕 CLASSMATES ONE OF THEM REAL SAID IN THEIR SECRET 🎅 LETTER TO ANOTHER CLASSMATE "I HOPE THIS STUPID LOCKDOWN ENDS SO WE CAN DORM AND I CAN HEAR YOU AND (my name) PLOTTING TO THROW ME IN A VOLCANO AND GET AWAY WITH IT CUZ WE JUST VIBE LIKE THAT" BITCH YES ,,
81,none,"@realDonaldTrump @FoxNews What’s to report, a bunch of wire ingnorants listening to lies and spreading Covid 19? Big fucking deal, that shit is totally irrelevant. ",,
82,offensive,"@washingtonpost That’s because he can be cut off on a virtual event and can’t interrupt, plus he’ll be CoVId positive and wants to spread it to Joe Biden . I firmly believe he was positive during the 1st debate. Trump is a scumbag!! ",,
83,none,"@LSW12612672511 Those that are imposing this COVID scam already have India, they want the West. India (and Africa) are already enslaved and have no money. Now, the WEF and the Global Elite have their eyes on us here. They want to enslave us and COVID is their vehicle. WAKE THE FUCK UP PEOPLE! ",,
84,none,Here's a big FALALALA LALALA FCK YOU to everyone that doesn't take COVID seriously. The amount of people around me that have gotten the virus from just being at work and trying to make ends meet while all these bitch ass people come in with their mocoso ass germs spreading it ,,
85,offensive,"@JConnor716 @GCofeve @jaketapper @Jali_Cat @PamelaBrownCNN @evanperez China has confirmed the Biden charges, you dumb ass ",,
86,none,When you're excited to receive a cold compress from the asshole who just gave you a black eye. ,,
87,offensive,Fuck. Off. Fauci. ,,
88,none,Bruh I turned 21 during this pandemic and will be 22 in 4 months and again during a pandemic how fucking tragic once this shits over I’m going on a long trip to celebrate also rip anyone that died because of Covid it’s fuck Covid ,,
89,none,@maggmountains y’all are so fucking dramatic just wear a mask ,,
90,none,the covid test system is an absolute load of shit ,,
91,offensive,@JUhlTrucker @SjSrwillis06 @TPDMomof3 @Mike_Pence @realDonaldTrump It was Governor Holcomb. He is a moderate Republican- not a Trump sycophant. I’d noted Oence/Trump on virus. He earned my vote . Pence is an ass. ,,
92,hate,Ftom the Filipino people and Citizenry of Saj Nicholas 2 Dasmariñas City Cavite Fuck terrorist China ,,
93,offensive,sick of these niggas covid-19 ,,
94,none,"@BillOReilly Ever been during a pandemic, old man??? Goddam you’re dumb. ",,
95,none,Covid 19- 45 Carson ‘s cure By a My Pillow and swallow the Republican bull shit ,,
96,none,"karens be like: “I hate face masks because I can’t breathe” when in reality Face ID not working is far more annoying. (I ain’t an anti masker btw, wear your goddamn face mask) ",,
97,none,Fears that UK will not cope with Brexit and Covid vaccine rollout are fully justified with reckless vast scale bloody stupid mass parties like this one in Notingham ! Unbelievably mindless idiocy ,,
98,offensive,@ElieEire1 @RepTiffany Hey dick by law both parties HAVE 2 INSPECT EACH BALLOT UR BEYOND DUMB IF U ARGUE THAT HAPPEN EVEN DUMBER U KNOW IT AINT AND ARE COOL WITH IT U RETARTDS WATCH DEMOCRACY BE CHEATED AND R LIKE YIPPIE WE R LIKE CHINA Btw ur just an idiot if ur not seein the extreme cheatin ,,
99,none,Covid fuck off ,,
100,none,Look at this crazy shit going on in China OH WAIT THIS CRAZY SHIT IS GOING ON IN THE UNITED STATES OF AMERICA ,,
101,none,im so fucked 🤩 thanks corona how tf am i supposed to pay bills ,,
102,hate,fuck to all people who don’t put their nose in the mask ,,
103,none,If your respiratory system is so fucked up you can’t wear a piece of cloth over your mouth...why would you be going out in public during a pandemic that attacks your respiratory system? I don’t understand ,,
104,none,@dangermarin He’s right. Democrat Gov Cuomo is an imbecile who is recklessly endangering people’s lives for his own gain by sticking Covid people into nursing homes. ,,
105,none,My ass need to be in ATL but corona.... ,,
106,hate,"@PatMeehan88 @Acosta None of that makes any sense. My tax bill went down, my business grew, my family is better off under Trumps America First policies than Biden's China First 10% bribe policies. Stupid communist shit-eater. ",,
107,none,There’s an especially crazy Qanon person in my mentions who’s ready to rumble if anyone wants to fuck with them ,,
108,none,there are too many people out today im just trying to grab my shit &amp; skidaddle i wish everyone had that same energy IN THE MIDDLE OF A FUCKINNG PANDEMIC LIKE MOOOOOOOVE BITCH {•̃̾_•̃̾} ,,
109,offensive,"@realDonaldTrump Hey Asshole- you ain't Pro-Life. You are a murderer who let over 200, 000 Americans die from the Coronavirus. The one you called a hoax. Murderer. ",,
110,none,What's your least favorite Wojak? — personally it's the "mad but covered face with u mad mask" wojak cause its overused and people just post it whenever they get called out for shit or are posting pure dumb grifty shit ,,
111,hate,@itvnews Do you think so you ugly twat! This country has done its bit by sticking to the draconian orders long enough. Go &amp; live in fucking China if you want to carry on living with those type of rules. CUNT! ,,
112,none,@GOPChairwoman wear a mask socially distance - not your guy - I ‘ll gather people work them up and not give a shit if they die - you are all a pathetic mess ,,
113,none,Watching Maddow wow this whole corona virus problem is ALL TRUMP ADMINISTRATION'S FAULT!!! This is what happens when you put a moron in charge. Trump kills everything he touches. ,,
114,hate,@DrTedros @WHO Covid fuck china ,,
115,offensive,"@THistoryon @Sean80832993 @jrlindman @realDonaldTrump What the hell is the matter with you? Any excuse will do for you shitheads. Please, don’t ever wear a mask. Get you whole murky gene pool together for Thanksgiving, football night, and Christmas too. Please do. No? Then shut your ignorant mouth. ",,
116,none,please wear a fucking mask i wanna go see hoseok at a concert ,,
117,none,@carolecadwalla Has he got COVID again Who bought that bullshit ,,
118,none,Imagine getting coronavirus like nigga just take paracetamol ,,
119,hate,just saw some white mfkers have a photo shoot with over like 10 without mask 😐 their photos came out like ASS fucking hate white people ,,
120,offensive,Stay far away from fuck niggas and the corona ... ,,
121,none,@Kenny_Sowellfan @realDonaldTrump @KLoeffler @sendavidperdue @BrianKempGA Stfu and go lick a covid patient on the lips you idiot. The only age group with 99% recovery is kids. ,,
122,none,@therealslimlola i decided to defend china bc you and other idiots are uneducated ,,
123,offensive,@realDonaldTrump You lying piece of shit. Wear a mask ! ,,
124,none,And why should we listen to u @DailyMailUK U lying pricks @SkySportsNews @SkyNews @BBCWorld @MattHancock @KristenMeghan And did we do any of this lockdown and tier shit....no WAKE UP ,,
125,offensive,Everytime trump@makes an ass of himself in an interview he runs to Fox and Friends.Its the PANDEMIC stupid. ,,
126,none,TW // COVID DUDE SOMEONE IN MY YEAR GOT TESTED POSITIVE FOR COVID... I... LITERALLY HUG HIM EVERY FUCKING DAY UM... ,,
127,none,@ThisWeekABC No body is going to tell me that I have to wear a communist mask you people and communist dr dumb ass can wear your masks but I will not ,,
128,none,Covid ain’t finna do shit I had the cheese touch before nigga still standing ten toes tf down ,,
129,hate,@DonaldJTrumpJr Damn.... the TrumpCrimeFamily are the real SnowFlakes Can't wait to see ALL their asses in prison!! ,,
130,none,Why do they want to eat everything???🤬🤬🤬 Stupid dumbass. Haven’t they learned something about the current covid19 pandemic?🤦‍♂️ ,,
131,hate,@globaltimesnews India 🇮🇳 don’t recognise your fucking occupied Tibet and it is a free country. You fucking Corona Virus 🦠 has occupied it Leave Tibet and Eat your fucking bat 🦇 soup 🥣 and leave world in peace ☮️ ,,
132,none,@rogertansey We’ve been doing it for like 200+ days at this point. I’ll commit to another hundred if it means moving past this stupid fucking pandemic. ,,
133,none,Whyyyy are people so hung up over a vaccine? That could get us back to “normal”???? U think in 1955 when the polio vaccine came out people were scared and came up with conspiracies out the ass? No bitch they didn’t want to get fucking POLIO ,,
134,none,i’m safe as FUCK from coronavirus ,,
135,none,You ever think about how fucked the world is and how we’re in a fucking real life pandemic that’s only suppose to happens in movies and you question human existence and if ur in a dream cause wtf ,,
136,none,"COVIDIOTS Your stupidity isn't harming yourself, although it should. WEAR A DAMNED MASK. ",,
137,none,“put your mask on you’re ugly” ~ my freaking history teacher ,,
138,none,@realDonaldTrump Yeah that’s why China manufactures your shit. ,,
139,none,"You know who’ll never get Covid_19 coronavirus? People who go ass to mouth. Pink eye yes, Coronvirus NO! ",,
140,none,Wear a fucking mask. ,,
141,offensive,@KeishaBottoms @JoeBiden Not a single mask. Go fuck yourselves ,,
142,offensive,"Only stupid people will blame Trump , when the world is affected by china's virus. ",,
143,none,@BreitbartNews Wheres the mask @chuckschumer?douchebag! ,,
144,offensive,@RealCandaceO Still doing PR for the pandemic. You’re a f- pathetic tool. You’re a f- political commentator not a doctor or even a patient care assistant. You really are a nasty POS. F- you and your mother too. ,,
145,none,What kind of fucking idiot tells the American people not to vote by mail during a pandemic ,,
146,none,So Trump says there'll be no Covid talk on TV after Nov 3rd. I urge you all to report back after Nov 5th (let's give them a couple of days for the election) re: what you see on MSNBC &amp; CNN. What an idiot!! But his supporters BUY IT!! ,,
147,offensive,"@TheBabylonBee ""Party That Wants To Ruin Your Healthcare Roots for Deadly Contagious To Kill Us All"" How else are we to treat supposed leaders who continue to fail to protect Americans from a deadly contagious virus? Their incompetence is literally KILLING US, you dumb f*cks. ",,
148,offensive,"@ToniaBuxton 100% right. No one denies Covid existence. You might disagree on the level of harm it does. However as a caterer I am decimated and 30 years of work will be lost. Caterers have been an easy target by prick Whitty, asshole Valance, c**t Hancock. ",,
149,none,"Fuck this virus man, I miss eating out my friends. ",,
150,none,"if u go out to raves, parties, etc and u catch covid, i will laugh in ur face. CACKLING like i’m the wicked witch of the west. bc what else did u expect?? ur stupid and selfish so no pity points from me. ",,
151,none,"@Godspeed2 @ZachSkaggz @niadawseyy We're fundamentally transforming civilization, which will have long-term effects for potentially decades. Much worse than any superflu virus. Like most people on the left, you're an idiot. ",,
152,none,The pandemic and looting got me ready to fuck all I want to do is have sex and be laid up ,,
153,none,running late shit forgot my mask ,,
154,none,@Mike_Pence Why does tRump and Ivanka make their shit in China? ,,
155,none,battling Covid going fucking ham on a dildo I heard ,,
156,none,Guess who's not suffering like us because she doesn't rely on the government to help her out when she needs them the most? THIS BITCH ,,
157,hate,Fucking animals! Yeah I said it China! ,,
158,none,All my Fall shows are coming back. Perfect time to shut this shit the fuck down and get over COVID. ,,
159,offensive,"A Harris County constable on CNN fucking evicted people during a pandemic talking about “I have six kids. I definitely feel bad for these people” fuck you and your fucking kids, eat shit and die ",,
160,none,@JoeBiden Where’s ur fucking mask? ,,
161,hate,This just fucking shows how close minded boomers are smh ,,
162,none,Just a ✨reminder ✨ kiss my baby without permission and I’ll whoop your ass :-) ,,
163,none,@donwinslow @XENUTV “Wear a fucking mask”...except when you’re making a video and want your face to be seen properly. ,,
164,none,klasjflskaj is she mad @ me because there are less members.... andrea there's a fucking pandemic ,,
165,none,No one should be shocked by this. He's a monster with nothing but contempt for anyone who's not kissing his ass. ,,
166,hate,"First my dad passed and now my grandpa passed from COVID because people can’t wear a fucking mask. If you still aren’t wearing masks, please go fuck yourself :) ",,
167,none,@d1Vinman That's only if you're idiotic enough to fall for the bullshit covid agenda. 😂 ,,
168,offensive,@joevettweets @Jennife94605858 @BruggeRunaway @ByMikeBaker Cloth masks have zero impact on covid Stfu you ass ,,
169,none,"Fuck COVID, and Fuck your mask ",,
170,offensive,"@RepWalberg I love this more than you can ever hope to imagine. You could have worn a mask, but nope, you had to pander to Trump. Worse, you spread that shit to Michigan. What an uncaring piece of shit. ",,
171,hate,@MajorPatriot When can we deport these idiots to China? ,,
172,hate,@InterviewMag @Janefonda @IndyaMoore You are a disgusting pig and will always be known as the old hag that said COVID-19 was a blessing for Democrats. ,,
173,none,"If I can hold a fluffy ass dog for vaccines and wear my mask, YOU CAN WEAR YOUR DAMN MASK TOO. ",,
174,offensive,"@thehill @IvankaTrump Because of Donald Trump's negligence, I 1/ have to wear a fucking mask everywhere, 2/ cannot take a flight, 3/ cannot visit my children who live in NYC, 4/ have to wear a fucking mask everywhere. Fuck you, Donald Trump. You're an asshole. And fuck your idiot spawn too. ",,
175,none,@kylegriffin1 So just go ahead with your mask less selves and we will never get over this mess. Pay attention to the experts and do the right thing. Idiots. ,,
176,offensive,Stfu fauci you lying corrupt scumbag ,,
177,none,"@RobbieSherman77 @SeanTrende Sure, Jan.... And an uncontrolled deadly pandemic will fucking KILL us so yeah... FFS! Ignorance is everywhere in this fucking country. JFC. ",,
178,none,"The worst place for crime in Nottingham has the LOWEST infection rate, apparently it’s that scary even COVID fucked off ",,
179,offensive,@GillianMcKeith Oh do Fuck off you absolute lunatic. Come and work in my hospital and pass that recipe on to the scores of Covid patients and exhausted Drs and Nurses. ,,
180,offensive,Fuck Fauci ,,
181,hate,"@MittRomney Mitt, you are a white pig and a traitor! You betrayed the Republican Party! You are a pig that has business dealings in China! Trump will be re-elected and you will go down the drain! You will end up as nobody! ",,
182,none,"Bear Lake got its first confirmed COVID test today and of course it's the kid living down the hall from me, who told absolutely nobody that he was having severe symptoms. Why is every single person in the world a TOTAL FUCKING DUMBASS ",,
183,offensive,Fuck you fauci ,,
184,offensive,"@aubrey_huff What I wanna know is why are there so many douchy white podcast bros in my timeline??? You're a fucking idiot, AUBREY. ""WhO's WiTh Me"" STFU someone on a ventilator is gonna be ""with you"" when your ass comes down with COVID, you witless dishcloth. ",,
185,hate,social ed coaches: we do not want to alter your political opinion therefore we will not get political history teachers: i fucking hate yankees. stupid fucking puritans. trump shouldve died from the corona virus ,,
186,none,Just woke up after only 5 hours of sleep last night. Corona really fucks with my sleeping schedule and I wanna die rn ,,
187,none,"Wrong. We have borne the brunt of a disastrous, idiotic, criminal response to a low fatality rate virus. ",,
188,none,FUCKING LIAR. If that’s the case then make this a thing for the lower league clubs that are literally going to collapse due to the COVID-19 pandemic. ,,
189,offensive,@senatemajldr WHERE THE FUCK IS THE COVID RELIEF MONEY YOU FUCKING CRIMINAL!!! ,,
190,none,"The first case of Covid-19 was identified one year ago today. Happy Birthday, you little shit. Okay, thanks for screwing up Trump's reelection. But that's it. Fuck you for everything else. ",,
191,none,I just lost my shit big time. This lockdown is f*%n bullish!t. I am now taking myself for time out in my bedroom and will not reappear until this is all over 😢😩🤬🤯😡🥺😖 ,,
192,none,"Have you ever seen anyone more anxious to be Wisconsin’s football bitch than Nebraska fans on Twitter? Hey guys, it’s a pandemic...take a year off and wear a mask. Just watch those old games on BTN if you get nostalgic for getting your ass kicked ",,
193,offensive,@mahinana_ansary OH YOU TELL THAT BITCH WHATS UP!! I DONT WANT NO CORONA VIRUS FOR HER DIRTY ASS ,,
194,none,i think i have covid again 😐 i aint tellin no one shit though. natural fuckin selection baby ,,
195,none,@realDonaldTrump Five years? So all your talk of getting the vaccine out was bullshit? We all knew it was but it was funny watching you mae a fool of yourself. Which you succeeded in doing daily. ,,
196,none,I get tested for this bitch ass virus every week ,,
197,none,@kremitGreens @realDonaldTrump For all you idiots who call Trump a racist. ,,
198,none,STAY THE FUCK HOME AND STOP SPREADING COVID! ,,
199,none,i cant taste anything and my throat feels like sandpaper i stg if one of those bitches at school gave me corona its on sight ,,
200,none,"And that declined after a year? Thats if the majority of s given population take the covid vaccine. If they don't, this shit is just gonna keep spreading and be even longer to quell. Im tired of wearing a fucking mask for 8 hours. Im tired of hiding my annoyance at people ",,
201,none,the night trump got covid was fucking incredible ,,
202,hate,@realDonaldTrump @FLOTUS YESSSS GOD BLESS U FOR GETTING CORONA I HOPE U DIE FROM IT BITCH 😁 ,,
203,offensive,@awzurcher Covid Kristi bragged about enabling the super-spreader event at Sturgis. Nobody should listen to her dumb ass. ,,
204,offensive,Just watched a video of South African partying in the road .the fucking traffic is terrible just for ppl the becdancing and drinking.These mother fuckers clearly don’t give a shit about COVID .I swear this country will never be free ,,
205,none,@StephenKing To paraphrase the damn Idiot-in-Chief at one of his super spreader rallies... "COVID COVID COVID!" ,,
206,none,"@joepublic121212 @ManaboutLdn @MayorofLondon @MarcusRashford He was doing a decent job at reducing TfL's deficit before the pandemic. Wonder who he inherited that deficit from? Whoever it was, I'm sure nobody's stupid enough to vote for that idiot again. ",,
207,none,FACT: If you wear a face mask your penis won’t fall off. ,,
208,none,Really fucking tired of this fucking year stupid ass covid bs ass year ,,
209,hate,Traitors fck off too China with ,,
210,none,You got your Normal Stupid Shit which be anyone sitting in a restaurant or bar right now in America...not because Corona Virus gonna kill you but because it just makes Pandemic worse for all...then you got Super Stupid Shits walks their ass on a cruise boat! ,,
211,none,@blue8505 @TheRealHoarse @jacknicklaus I would have added "Fuck off and die" (of covid) ,,
212,offensive,Yet the BLMprotest aren’t responsible for any cases of COVID19. @CNN you’re so full of shit! ,,
213,none,This will not fucking do anything you incompetent stooge. The virus isn’t nocturnal or burnt by daylight or any such nonsense ,,
214,offensive,@ProfTimBale What a fucking complete and utter moron @allisonpearson I’d love you to meet with the 62k people who died of COVID in the Uk and the million plus in our world - u utter cretin ,,
215,none,"@GOPLeader You are a moron, we are not sending our children to school during a pandemic that your administration has done nothing but make worse. ",,
216,none,"@adammcintyree She just continues to act fucking stupid. i hate people saying this or even thinking about it, but I hope she gets COVID-19 and sees how terrible it is. she thinks that it won’t effect her. ",,
217,none,Work is soooooo busy 😭 fuck y’all and your mommas for being procrastinator shoppers! 🙄 and coming with your big ass family during a fuckin pandemic????????????????? ,,
218,none,"@GeorgeFoulkes @scotgov @NicolaSturgeon I wish someone somewhere would stop this rancid old cow. She is Evil personified and the Opposition better get on their feet this afternoon and stand up for the people they're supposed to fucking represent. Virus.....yer arse, it's the flu. She'll burn in hell. ",,
219,hate,@MissSassyness @FoxNews You stupid boomers are trying to ruin a country you won’t be alive to see in 30 years. Fuck off ,,
220,hate,Americans are selfish assholes who care only about themselves and don't give a fuck about the effect policies will have on others that aren't in their race or class. When I say Americans I mostly mean white ,,
221,none,@mikegolicjr Yeah because your grandmas old drapes cut into the shape of a mask will stop a pandemic. Who’s the real idiot if that’s what you believe? ,,
222,none,"U wanna die of covid, be my guest. Don't fucking put other ppl in danger. Fucking pricks ",,
223,offensive,@DrTomFrieden Your header image is you with a mask on. I bet your wife fucks you. ,,
224,none,Wish I was going somewhere.. fuck covid 😔 ,,
